FATES_NPP_PF,FATES_RECRUITMENT_PF,FATES_NPLANT_PF,FATES_MORTALITY_PF,FATES_NPATCHES,FATES_NCOHORTS,FATES_VEGC_PF,FATES_SEED_BANK_TRS,FATES_SEEDLING_POOL_TRS,FATES_SEEDS_IN,FATES_SEEDS_IN_LOCAL,date,simYr
3.181690999554121e-8,0.011915826238691807,0.07592888921499252,0.0014033589977771044,10,191.61289978027344,31.137386322021484,6.058454746380448e-4,0.0024463124573230743,7.362940812605245e-10,0,1904-01-01,5
3.307434681687482e-8,0.011860592290759087,0.0768035426735878,0.0014199282741174102,10,193.61289978027344,31.146804809570312,7.454513688571751e-4,0.0023058850783854723,7.635940768579985e-10,0,1904-02-01,5
3.408723614484188e-8,0.010969692841172218,0.07759030908346176,0.0014349923003464937,10,196.17857360839844,31.159061431884766,9.936813730746508e-4,0.002075944561511278,7.960790360250769e-10,0,1904-03-01,5
2.586048886143999e-8,0.005041015334427357,0.0781840980052948,0.0014466586289927363,10,192.35484313964844,31.164888381958008,0.0012238367926329374,0.001866890350356698,4.578875056893139e-10,0,1904-04-01,5
1.92334219661916e-8,0.0030784807167947292,0.07819579541683197,0.0014469977468252182,10,188.6666717529297,31.14206886291504,0.0013194592902436852,0.0017784880474209785,2.1697758867400552e-10,0,1904-05-01,5
3.0222892632991716e-8,0.008902313187718391,0.07867738604545593,0.0014561499701812863,10,193.03225708007812,31.134862899780273,0.001476419740356505,0.001588466577231884,6.629472526498148e-10,0,1904-06-01,5
3.1328816874065524e-8,0.00933526735752821,0.07926866412162781,0.0014675103593617678,10,192.60000610351562,31.138628005981445,0.0013829427771270275,0.0016916478052735329,7.100439125551361e-10,0,1904-07-01,5
3.248289814905547e-8,0.011506625451147556,0.07988844066858292,0.0014789911219850183,10,191.64515686035156,31.14838981628418,9.556411532685161e-4,0.002136074937880039,7.689905934249452e-10,0,1904-08-01,5
3.163643569337182e-8,0.01228463277220726,0.07960740476846695,0.0014727929374203086,10,191.2903289794922,31.15656089782715,7.461167988367379e-4,0.0023369223345071077,7.243824984293212e-10,0,1904-09-01,5
3.047096441832764e-8,0.012658283114433289,0.07933594286441803,0.001466600806452334,10,194,31.161590576171875,6.817977409809828e-4,0.002374676987528801,6.863292156822354e-10,0,1904-10-01,5
