sp,FRUIT_DRY,N_SEEDFULL,DSPR_DRY,DRY_MASS
banagu,NA,NA,NA,NA
banico,NA,NA,0.0737,0.0737
bauhgu,NA,NA,NA,NA
beilpe,5.8784,1,4.62106,5.8784
bertgu,NA,NA,NA,NA
boropa,NA,NA,NA,NA
brosal,1.00718,1,0.647694,1.00718
brosco,NA,NA,NA,NA
brosgu,NA,NA,NA,NA
brosla,NA,NA,NA,NA
brosut,3.636604,1,2.265452,3.636604
browma,NA,NA,NA,NA
bucibu,NA,NA,NA,NA
buncco,1.028864,1.92,0.353678,1.028864
burssi,NA,NA,NA,NA
byrsc1,NA,NA,NA,NA
byrscr,NA,NA,NA,NA
byrssp,NA,NA,NA,NA
cal1wa,NA,NA,NA,NA
cal2ca,NA,NA,NA,NA
calaco,NA,NA,NA,NA
callla,145.701,177,0.215481667,145.701
callst,NA,NA,NA,NA
calobr,NA,NA,NA,NA
calolo,5.25191,1,3.697135,5.25191
cappcy,NA,NA,NA,NA
cappfr,3.202551019,14.41679894,0.109081855,3.202551019
caragu,181.6,7.2,14.32875,181.6
carybu,NA,NA,NA,NA
cas1mo,NA,NA,NA,NA
caseac,0.055366667,5.666666667,0.003725,0.055366667
casear,0.0375,5,0.00185,0.0375
casec2,NA,NA,NA,NA
caseco,0.1653,7.6,0.023181667,0.1653
casegu,0.108266667,7,0.00455,0.108266667
casesy,NA,NA,NA,NA
cassel,0.106725,5.383333333,0.005355,0.106725
castel,4.54555,14.75,0.12985625,4.54555
cavapl,1081.5882,1,0.673,1081.5882
cayagr,1.31164,3.35,0.26988125,1.31164
cecrga,NA,NA,NA,NA
cecrin,NA,NA,NA,NA
cecrlo,NA,NA,NA,NA
cecrob,NA,NA,NA,NA
cecrpe,NA,NA,NA,NA
cedrod,NA,NA,NA,NA
ceibpe,NA,NA,0.042475,0.042475
celtig,0.31335,1,0.02895,0.31335
celtsc,NA,NA,NA,NA
cerate,114.5,327,0.0502375,114.5
cespma,0.43311500000000003,80.25,2.20185e-4,0.43311500000000003
cestme,0.02607,1.05,0.01048625,0.02607
cha1te,0.40543875,1,0.166142813,0.40543875
cha2sc,NA,NA,NA,NA
chimpa,NA,NA,NA,NA
chioal,NA,NA,NA,NA
chloma,NA,NA,NA,NA
chomsp,NA,NA,NA,NA
chonto,0.55372,1,0.2607,0.55372
chr1ec,0.633104,1.16,0.116494,0.633104
chr2ar,3.43704,2,0.125745,3.43704
chr2ca,10.144004,3.56,0.2310245,10.144004
chr2co,NA,NA,NA,NA
chr2ve,NA,NA,NA,NA
cisser,0.044065,1,0.02587,0.044065
cletla,NA,NA,NA,NA
clidde,NA,NA,NA,NA
clidoc,NA,NA,NA,NA
clidse,NA,NA,NA,NA
clitgl,NA,NA,NA,NA
clitja,NA,NA,NA,NA
cnempe,NA,NA,NA,NA
cnesru,0.44444,1,0.1811,0.44444
cocca2,NA,NA,NA,NA
coccco,NA,NA,NA,NA
coccjo,NA,NA,NA,NA
coccma,0.04068,1,0.029872,0.04068
coccp1,0.1543,1,0.022543333,0.1543
cochvi,NA,NA,NA,NA
colugl,NA,NA,NA,NA
coluhe,NA,NA,NA,NA
combde,NA,NA,0.02509,0.02509
combfr,NA,NA,0.0804,0.0804
combla,0.096625,1,0.055566667,0.096625
compca,NA,NA,NA,NA
connpa,0.95522,1,0.47196,0.95522
conntu,0.609048,1,0.33118,0.609048
conobr,NA,NA,NA,NA
conoci,NA,NA,NA,NA
conoru,NA,NA,NA,NA
conoxa,NA,NA,NA,NA
copaar,NA,NA,NA,NA
cordal,0.011164,1,0.007966667,0.011164
cordbi,0.22452,1,0.11114625,0.22452
cordcy,NA,NA,NA,NA
corder,NA,NA,NA,NA
cordla,0.214695833,1,0.161575,0.214695833
cordpa,NA,NA,NA,NA
cosmma,NA,NA,NA,NA
cou2cu,0.15639,1,0.026187,0.15639
cou2la,NA,NA,NA,NA
courpa,NA,NA,NA,NA
couthe,NA,NA,NA,NA
cratta,NA,NA,NA,NA
crotbi,NA,NA,NA,NA
crotdr,NA,NA,NA,NA
crypas,NA,NA,NA,NA
cupaci,2.66731,2.5,0.2226625,2.66731
cupala,0.57862,2.2,0.12613,0.57862
cuparu,0.898965185,2.133333333,0.227695247,0.898965185
cupasy,0.47078,1.48,0.221722,0.47078
cydiae,12.2515,21,0.116135,12.2515
cym1la,0.28802,1,0.24216,0.28802
cymbro,9.55629,5.1,0.566915,9.55629
cyphha,NA,NA,NA,NA
dalbre,NA,NA,NA,NA
dapham,NA,NA,NA,NA
davini,0.053026667,1,0.0272,0.053026667
dendar,0.0902625,3.975,0.009696458,0.0902625
des1or,0.491848,1,0.365382,0.491848
des2pa,0.892389806,4.916666667,0.131922102,0.892389806
dialgu,0.44289,1,0.2018,0.44289
dio2ar,NA,NA,NA,NA
diocgu,2.0455,5,0.511375,2.0455
diocre,0.91707,3.5,0.166835833,0.91707
diocwi,29.112704,2.32,5.628548,29.112704
diphro,NA,NA,NA,NA
diptpa,17.77074844,1,10.76818597,17.77074844
dolide,0.0483,1,0.01044,0.0483
dolima,0.229116364,1.872727273,0.054894773,0.229116364
dolimu,0.207834286,1.6,0.042237143,0.207834286
doliol,0.611324,1.72,0.095922,0.611324
drypst,0.951972,1,0.1707065,0.951972
duguco,NA,NA,NA,NA
dussat,4.780746667,1.083333333,2.468325,4.780746667
ela1au,NA,NA,NA,NA
elaeol,NA,NA,NA,NA
entecy,26.81350867,11.3,0.7509175,26.81350867
entesc,7.7835,21.14285714,0.067264286,7.7835
erblod,NA,NA,NA,NA
ery1co,NA,NA,NA,NA
ery2ci,NA,NA,NA,NA
ery2ma,NA,NA,NA,NA
ery2pa,0.03198,1,0.023204,0.03198
eschja,NA,NA,NA,NA
eschpi,NA,NA,NA,NA
eschse,NA,NA,NA,NA
eugeco,0.66863,1,0.100594375,0.66863
eugega,0.13812,1.2,0.10155,0.13812
eugene,0.913696,1.41,0.444578667,0.913696
eugeoe,NA,NA,NA,NA
eugepr,NA,NA,NA,NA
eugeve,0.07445,1.1,0.0484375,0.07445
exosme,NA,NA,NA,NA
faralu,0.591548,1,0.342164,0.591548
faraoc,0.36629,1,0.242188,0.36629
fevico,39.9746,2.9,4.748816667,39.9746
