sp,latin
geniwi,Genipa williamsii
geonco,Geonoma congesta
geoncu,Geonoma cuneata
geonde,Geonoma deversa
geonin,Geonoma interrupta
gloeen,Gloeospermum eneidense
gloesp,Gloeospermum sphaerocarpum
gmelar,Gmelina arborea
gonz1,Gonzalagunia sp.1
gonzru,Gonzalagunia rudis
gordbr,Gordonia brandegeei
griaca,Grias cauliflora
guapco,Guapira costaricana
guapst,Guapira standleyana
guar1,Guarea sp.1
guar2,Guarea sherman
guar4,Guarea sp.4
guar6,Guarea sp.6
guar8,Guarea sp.8
guargl,Guarea glabra
guargr,Guarea grandifolia
guargu,Guarea guidonia
guarku,Guarea kunthiana
guarm1,Guarea cf.macrophylla
guarma,Guarea macropetala
guarpt,Guarea pterorhachis
guarrh,Guarea rhopalocarpa
guarsp,Guarea bullata
guat5,Guatteria sp.5
guat7,Guatteria sp.7
guata1,Guatteria alata
guatab,Guatteria aberrans
guatal,Guatteria allenii
guatam,Guatteria amplifolia
guatdu,Guatteria dumetorum
guatse,Guatteria sessilicarpa
guazul,Guazuma ulmifolia
guetcr,Guettarda crispiflora
guetfo,Guettarda foliacea
guetra,Guettarda ramuliflora
gust1,Gustavia sp.1
gustdu,Gustavia dubia
gustfo,Gustavia fosteri
gustsu,Gustavia superba
gyrada,Gyranthera darienensis
hameax,Hamelia axillaris
hamepa,Hamelia patens
hampap,Hampea appendiculata
hassfl,Hasseltia floribunda
hedysc,Hedyosmum scaberrimum
heisac,Heisteria acuminata
heisco,Heisteria concinna
hel1to,Helicostylis tovarensis
heliam,Heliocarpus americanus
henrfa,Henriettella fascicularis
henrsu,Henriettea succosa
henrtr,Henriettella trachyphylla
henrtu,Henriettella tuberculosa
herndi,Hernandia didymantha
hernst,Hernandia stenura
herrny,Herrania nycterodendron
herrpu,Herrania purpurea
hevebr,Hevea brasiliensis
hip1pa,Hippotis panamensis
hirt5,Hirtella sp.5
hirtam,Hirtella americana
hirtgu,Hirtella guatemalensis
hirtla,Hirtella latifolia
hirtra,Hirtella racemosa
hirttr,Hirtella triandra
hirttu,Hirtella tubiflora
hortco,Hortia colombiana
humidi,Humiriastrum diguense
huracr,Hura crepitans
hybapr,Hybanthus prunifolius
hyeral,Hieronyma alchorneoides
hyerob,Hieronyma oblonga
hym1me,Hymenolobium mesoamericanum
hymeco,Hymenaea courbaril
hymepi,Hymenandra pittieri
hypeto,Hyperbaena tonduzii
inga11,Inga sp.11
inga15,Inga sp.15
inga18,Inga sp.18
inga24,Inga sp.24
inga31,Inga sp.31
inga6,Inga sp.6
inga7,Inga sp.7
inga8,Inga sp.8
ingaac,Inga acrocephala
ingaal,Inga alba
ingabe,Inga bella
ingaca,Inga capitata
ingach,Inga chocoensis
ingaci,Inga ciliata
ingaco,Inga cocleensis
ingadw,Inga dwyeri
ingafa,Inga laurina
ingafi,Inga filiformis
ingago,Inga goldmanii
ingaje,Inga jefensis
ingale,Inga leiocalycina
ingam1,Inga mucuna
ingam2,Inga multijuga
ingama,Inga marginata
ingami,Inga oerstediana
ingap1,Inga polita
ingapa,Inga pauciflora
ingape,Inga pezizifera
ingapu,Inga punctata
ingaqu,Inga nobilis
ingaru,Inga ruiziana
ingas1,Inga acuminata
ingasa,Inga sapindoides
ingase,Inga sertulifera
ingasi,Inga sierrae
ingasp,Inga spectabilis
ingast,Inga aff.stenophylla
ingath,Inga thibaudiana
ingaum,Inga umbellifera
ingaur,Inga urceolata
ingav1,Inga venusta
ingave,Inga vera
iriade,Iriartea deltoidea
ixorfl,Ixora floribunda
jac1ca,Jacaranda caucana
jac1co,Jacaranda copaia
jac2co,Jacaratia costaricensis
jac2sp,Jacaratia spinosa
koanwe,Koanophyllon wetmorei
laciag,Lacistema aggregatum
lacmpa,Lacmellea panamensis
lacmsp,Lacmellea speciosa
ladema,Ladenbergia macrocarpa
laetpr,Laetia procera
laetth,Laetia thamnia
lafopu,Lafoensia punicifolia
laplfr,Gordonia fruticosa
lau11,Unidentified sp.11
lau13,Unidentified sp.13
lau14,Unidentified sp.14
lau15,Unidentified sp.15
lau16,Unidentified sp.16
lau17,Unidentified sp.17
lau18,Unidentified sp.18
lau19,Unidentified sp.19
lau4,Unidentified sp.4
lau5,Unidentified sp.5
lau8,Unidentified sp.8
laxote,Laxoplumeria tessmannii
leandi,Leandra dichotoma
leangr,Leandra granatensis
lecoam,Lecointea amazonica
lecyam,Lecythis ampla
