sp,cen_interval,tStart,tEnd,tCenInt,Nt0,Nt1,S_t1,M_t1,R_t1,site
zuelgu,1,1982-01-01,1985-05-03,3.334246575342466,21,22,17,2.5791740803667392e-6,3.223967600458424e-6,bci
zuelgu,2,1985-05-03,1990-08-10,5.271232876712329,22,24,16,2.579492259180153e-6,3.439323012240204e-6,bci
zuelgu,3,1990-08-10,1995-05-20,4.7753424657534245,24,28,15,4.499258216631244e-6,6.498928535134019e-6,bci
zuelgu,4,1995-05-20,2000-05-14,4.983606557377049,28,23,18,4.751084294079739e-6,2.3755421470398695e-6,bci
zuelgu,5,2000-05-14,2005-05-29,5.041095890410959,23,23,16,3.1951252773607105e-6,3.1951252773607105e-6,bci
zuelgu,6,2005-05-29,2010-05-17,4.967123287671233,23,20,12,5.6471246190220484e-6,4.106999722925126e-6,bci
zuelgu,7,2010-05-17,2015-07-09,5.144808743169399,20,17,12,3.7807796194168124e-6,2.3629872621355077e-6,bci
cecrin,1,1982-01-01,1985-05-03,3.334246575342466,146,116,23,1.2425047595177312e-4,9.39454818171943e-5,bci
cecrin,2,1985-05-03,1990-08-10,5.271232876712329,116,83,9,8.915330938292887e-5,6.165742891903492e-5,bci
cecrin,3,1990-08-10,1995-05-20,4.7753424657534245,83,74,2,8.991936140647243e-5,7.992832125019772e-5,bci
cecrin,4,1995-05-20,2000-05-14,4.983606557377049,74,330,10,4.895250222699229e-5,2.4476251113496144e-4,bci
cecrin,5,2000-05-14,2005-05-29,5.041095890410959,330,586,40,2.2574246359945732e-4,4.2501856939759894e-4,bci
cecrin,6,2005-05-29,2010-05-17,4.967123287671233,586,330,20,5.782381526330056e-4,3.167028751170172e-4,bci
cecrin,7,2010-05-17,2015-07-09,5.144808743169399,330,644,22,2.7010625152040687e-4,5.454743131353671e-4,bci
hassfl,1,1982-01-01,1985-05-03,3.334246575342466,648,527,483,1.0933775206887651e-4,2.9156733885033737e-5,bci
hassfl,2,1985-05-03,1990-08-10,5.271232876712329,527,383,346,8.086243045691317e-5,1.6529889098927003e-5,bci
hassfl,3,1990-08-10,1995-05-20,4.7753424657534245,383,263,240,7.142149310746017e-5,1.1487373017283804e-5,bci
hassfl,4,1995-05-20,2000-05-14,4.983606557377049,263,183,161,4.9328098031658325e-5,1.0639393693102777e-5,bci
hassfl,5,2000-05-14,2005-05-29,5.041095890410959,183,161,118,3.0511236180230253e-5,2.0184356242306167e-5,bci
hassfl,6,2005-05-29,2010-05-17,4.967123287671233,161,137,90,3.5579014039464794e-5,2.3552305068378102e-5,bci
hassfl,7,2010-05-17,2015-07-09,5.144808743169399,137,147,93,1.987341425900831e-5,2.4390099317873836e-5,bci
sponmo,1,1982-01-01,1985-05-03,3.334246575342466,22,24,8,1.1514543953223998e-5,1.3159478803684569e-5,bci
sponmo,2,1985-05-03,1990-08-10,5.271232876712329,24,48,6,1.1100109722397453e-5,2.590025601892739e-5,bci
sponmo,3,1990-08-10,1995-05-20,4.7753424657534245,48,48,20,1.608072187016792e-5,1.608072187016792e-5,bci
sponmo,4,1995-05-20,2000-05-14,4.983606557377049,48,40,21,1.4673768975038818e-5,1.0325985575027317e-5,bci
sponmo,5,2000-05-14,2005-05-29,5.041095890410959,40,50,19,1.0983037941032992e-5,1.621305600819156e-5,bci
sponmo,6,2005-05-29,2010-05-17,4.967123287671233,50,57,26,1.233530590253209e-5,1.5933103457437283e-5,bci
sponmo,7,2010-05-17,2015-07-09,5.144808743169399,57,98,31,1.2727566270239621e-5,3.2797959234848255e-5,bci
ingama,1,1982-01-01,1985-05-03,3.334246575342466,752,652,448,2.163899095160195e-4,1.4520901822785522e-4,bci
ingama,2,1985-05-03,1990-08-10,5.271232876712329,652,561,308,1.729287023233058e-4,1.2718302816219873e-4,bci
ingama,3,1990-08-10,1995-05-20,4.7753424657534245,561,372,267,1.615636935019081e-4,5.770131910782432e-5,bci
ingama,4,1995-05-20,2000-05-14,4.983606557377049,372,242,167,1.104530440137792e-4,4.040965024894361e-5,bci
ingama,5,2000-05-14,2005-05-29,5.041095890410959,242,261,112,6.859527496049016e-5,7.862073822394641e-5,bci
ingama,6,2005-05-29,2010-05-17,4.967123287671233,261,621,148,5.6340363201884136e-5,2.3583178579195748e-4,bci
ingama,7,2010-05-17,2015-07-09,5.144808743169399,621,948,377,1.1482408272518694e-4,2.6870717719705637e-4,bci
allops,1,1982-01-01,1985-05-03,3.334246575342466,122,109,81,2.8204691511438165e-5,1.9261740544396795e-5,bci
allops,2,1985-05-03,1990-08-10,5.271232876712329,109,95,77,1.3909575879651691e-5,7.824136432304077e-6,bci
allops,3,1990-08-10,1995-05-20,4.7753424657534245,95,65,59,1.803787073534202e-5,3.0063117892236703e-6,bci
allops,4,1995-05-20,2000-05-14,4.983606557377049,65,57,41,1.1481597731855129e-5,7.654398487903419e-6,bci
allops,5,2000-05-14,2005-05-29,5.041095890410959,57,45,33,1.171318172995755e-5,5.856590864978774e-6,bci
allops,6,2005-05-29,2010-05-17,4.967123287671233,45,53,30,7.054820216330704e-6,1.0817390998373745e-5,bci
allops,7,2010-05-17,2015-07-09,5.144808743169399,53,43,28,1.2364123275826835e-5,7.418473965496101e-6,bci
virosp,1,1982-01-01,1985-05-03,3.334246575342466,27,23,22,3.2169544136647493e-6,6.433908827329499e-7,bci
virosp,2,1985-05-03,1990-08-10,5.271232876712329,23,17,14,4.1344672436496665e-6,1.378155747883222e-6,bci
virosp,3,1990-08-10,1995-05-20,4.7753424657534245,17,12,9,4.239598184624913e-6,1.5898493192343425e-6,bci
virosp,4,1995-05-20,2000-05-14,4.983606557377049,12,7,5,3.866519686154217e-6,1.1047199103297764e-6,bci
virosp,5,2000-05-14,2005-05-29,5.041095890410959,7,6,5,9.039392572041846e-7,4.519696286020923e-7,bci
virosp,6,2005-05-29,2010-05-17,4.967123287671233,6,6,5,4.3248213605138466e-7,4.3248213605138466e-7,bci
virosp,7,2010-05-17,2015-07-09,5.144808743169399,6,4,2,2.307342630879417e-6,1.1536713154397084e-6,bci
sympgl,1,1982-01-01,1985-05-03,3.334246575342466,112,116,96,1.0120341293398912e-5,1.265042661674864e-5,bci
sympgl,2,1985-05-03,1990-08-10,5.271232876712329,116,124,99,6.870873914160845e-6,1.0104226344354184e-5,bci
sympgl,3,1990-08-10,1995-05-20,4.7753424657534245,124,120,103,9.451569058002024e-6,7.651270189811163e-6,bci
sympgl,4,1995-05-20,2000-05-14,4.983606557377049,120,112,88,1.4481118220009232e-5,1.0860838665006924e-5,bci
sympgl,5,2000-05-14,2005-05-29,5.041095890410959,112,108,87,1.094726141002651e-5,9.195699584422269e-6,bci
sympgl,6,2005-05-29,2010-05-17,4.967123287671233,108,112,87,9.200948569459092e-6,1.0953510201737014e-5,bci
sympgl,7,2010-05-17,2015-07-09,5.144808743169399,112,109,92,8.40291097578168e-6,7.142474329414428e-6,bci
guetfo,1,1982-01-01,1985-05-03,3.334246575342466,237,233,212,1.558525941515177e-5,1.3091617908727485e-5,bci
guetfo,2,1985-05-03,1990-08-10,5.271232876712329,233,216,189,1.813977890945954e-5,1.1131227967168355e-5,bci
guetfo,3,1990-08-10,1995-05-20,4.7753424657534245,216,179,172,2.0122667528700723e-5,3.2013334704751154e-6,bci
guetfo,4,1995-05-20,2000-05-14,4.983606557377049,179,141,132,2.1224739325450174e-5,4.064311785724501e-6,bci
guetfo,5,2000-05-14,2005-05-29,5.041095890410959,141,124,115,1.1174731727027367e-5,3.868176367047935e-6,bci
guetfo,6,2005-05-29,2010-05-17,4.967123287671233,124,111,101,1.003467975308043e-5,4.362904240469752e-6,bci
guetfo,7,2010-05-17,2015-07-09,5.144808743169399,111,90,85,1.1222317928843354e-5,2.1581380632391066e-6,bci
mar1la,1,1982-01-01,1985-05-03,3.334246575342466,10,14,9,6.221090146949249e-7,3.1105450734746244e-6,bci
mar1la,2,1985-05-03,1990-08-10,5.271232876712329,14,10,10,1.7314417834243194e-6,0,bci
mar1la,3,1990-08-10,1995-05-20,4.7753424657534245,10,11,9,4.3643658881748375e-7,8.728731776349675e-7,bci
mar1la,4,1995-05-20,2000-05-14,4.983606557377049,11,13,9,8.682574967235046e-7,1.7365149934470092e-6,bci
mar1la,5,2000-05-14,2005-05-29,5.041095890410959,13,12,10,1.318562251542973e-6,8.790415010286487e-7,bci
mar1la,6,2005-05-29,2010-05-17,4.967123287671233,12,14,10,8.649642721027693e-7,1.7299285442055386e-6,bci
mar1la,7,2010-05-17,2015-07-09,5.144808743169399,14,17,13,4.0043276088357294e-7,1.6017310435342918e-6,bci
ficutr,1,1982-01-01,1985-05-03,3.334246575342466,2,1,1,7.50805360674652e-7,0,bci
ficutr,2,1985-05-03,1990-08-10,5.271232876712329,1,0,0,2e-6,0,bci
ficutr,3,1990-08-10,1995-05-20,4.7753424657534245,0,1,0,NaN,NaN,bci
ficutr,4,1995-05-20,2000-05-14,4.983606557377049,1,1,0,2e-6,2e-6,bci
ficutr,5,2000-05-14,2005-05-29,5.041095890410959,1,0,0,2e-6,0,bci
ficutr,6,2005-05-29,2010-05-17,4.967123287671233,0,0,0,NaN,NaN,bci
ficutr,7,2010-05-17,2015-07-09,5.144808743169399,0,4,0,NaN,NaN,bci
aspicr,1,1982-01-01,1985-05-03,3.334246575342466,364,375,328,2.2386577344242264e-5,2.9226920421649624e-5,bci
aspicr,2,1985-05-03,1990-08-10,5.271232876712329,375,383,331,1.7549267335062847e-5,2.074004321416518e-5,bci
aspicr,3,1990-08-10,1995-05-20,4.7753424657534245,383,366,330,2.3522702305982304e-5,1.5977684585195528e-5,bci
aspicr,4,1995-05-20,2000-05-14,4.983606557377049,366,368,328,1.5925328936509925e-5,1.6763504143694658e-5,bci
aspicr,5,2000-05-14,2005-05-29,5.041095890410959,368,356,319,2.0569308219720463e-5,1.553192661489096e-5,bci
aspicr,6,2005-05-29,2010-05-17,4.967123287671233,356,350,305,2.1822065658403826e-5,1.925476381623867e-5,bci
aspicr,7,2010-05-17,2015-07-09,5.144808743169399,350,358,287,2.648700517769139e-5,2.9850434406604584e-5,bci
dendar,1,1982-01-01,1985-05-03,3.334246575342466,41,30,25,1.1306684323796456e-5,3.5333388511863927e-6,bci
dendar,2,1985-05-03,1990-08-10,5.271232876712329,30,19,18,5.5416399012050135e-6,4.618033251004178e-7,bci
dendar,3,1990-08-10,1995-05-20,4.7753424657534245,19,11,10,4.779201598203837e-6,5.310223998004264e-7,bci
dendar,4,1995-05-20,2000-05-14,4.983606557377049,11,9,6,2.5194502496000915e-6,1.511670149760055e-6,bci
dendar,5,2000-05-14,2005-05-29,5.041095890410959,9,8,7,8.75355513417222e-7,4.37677756708611e-7,bci
dendar,6,2005-05-29,2010-05-17,4.967123287671233,8,9,6,9.003512484952321e-7,1.350526872742848e-6,bci
dendar,7,2010-05-17,2015-07-09,5.144808743169399,9,4,3,3.4610139463191256e-6,5.768356577198542e-7,bci
andiin,1,1982-01-01,1985-05-03,3.334246575342466,220,208,187,2.0932333493863854e-5,1.3320575859731544e-5,bci
andiin,2,1985-05-03,1990-08-10,5.271232876712329,208,200,166,1.7424734012569124e-5,1.4105737057794053e-5,bci
andiin,3,1990-08-10,1995-05-20,4.7753424657534245,200,197,182,7.82230685676879e-6,6.518589047307326e-6,bci
andiin,4,1995-05-20,2000-05-14,4.983606557377049,197,184,169,1.1935650742615733e-5,6.394098612115571e-6,bci
andiin,5,2000-05-14,2005-05-29,5.041095890410959,184,175,161,9.619821562961403e-6,5.855543560063464e-6,bci
andiin,6,2005-05-29,2010-05-17,4.967123287671233,175,152,139,1.5858062419729995e-5,5.7265225404580536e-6,bci
andiin,7,2010-05-17,2015-07-09,5.144808743169399,152,143,127,1.0434563869118251e-5,6.6781208762356805e-6,bci
ingas1,1,1982-01-01,1985-05-03,3.334246575342466,181,214,162,1.184247815682252e-5,3.241099285025111e-5,bci
ingas1,2,1985-05-03,1990-08-10,5.271232876712329,214,235,161,2.249329458580879e-5,3.140573206320473e-5,bci
ingas1,3,1990-08-10,1995-05-20,4.7753424657534245,235,250,190,2.0461994063964813e-5,2.7282658751953083e-5,bci
ingas1,4,1995-05-20,2000-05-14,4.983606557377049,250,263,202,2.0938397491049477e-5,2.6609213478208708e-5,bci
ingas1,5,2000-05-14,2005-05-29,5.041095890410959,263,297,199,2.8305708173432914e-5,4.334311564056915e-5,bci
ingas1,6,2005-05-29,2010-05-17,4.967123287671233,297,440,228,3.079029885764924e-5,9.460207764958897e-5,bci
ingas1,7,2010-05-17,2015-07-09,5.144808743169399,440,703,356,3.549923270324084e-5,1.4664563985743536e-4,bci
diptpa,1,1982-01-01,1985-05-03,3.334246575342466,21,17,15,4.031548357276606e-6,1.3438494524255351e-6,bci
diptpa,2,1985-05-03,1990-08-10,5.271232876712329,17,16,12,2.173997926057999e-6,1.7391983408463993e-6,bci
diptpa,3,1990-08-10,1995-05-20,4.7753424657534245,16,13,11,2.4148750970338107e-6,9.659500388135243e-7,bci
diptpa,4,1995-05-20,2000-05-14,4.983606557377049,13,8,8,2.413475296218251e-6,0,bci
diptpa,5,2000-05-14,2005-05-29,5.041095890410959,8,15,8,0,NaN,bci
diptpa,6,2005-05-29,2010-05-17,4.967123287671233,15,17,12,1.3178987024773347e-6,2.1964978374622243e-6,bci
diptpa,7,2010-05-17,2015-07-09,5.144808743169399,17,25,13,1.7274226956021841e-6,5.182268086806552e-6,bci
ast2gr,1,1982-01-01,1985-05-03,3.334246575342466,22,15,14,5.577960660609601e-6,6.972450825762001e-7,bci
ast2gr,2,1985-05-03,1990-08-10,5.271232876712329,15,19,7,4.03855376335108e-6,6.05783064502662e-6,bci
ast2gr,3,1990-08-10,1995-05-20,4.7753424657534245,19,28,15,1.835274618816911e-6,5.964642511154961e-6,bci
ast2gr,4,1995-05-20,2000-05-14,4.983606557377049,28,31,22,2.6453774289825053e-6,3.968066143473758e-6,bci
ast2gr,5,2000-05-14,2005-05-29,5.041095890410959,31,51,25,2.5899838506063314e-6,1.1223263352627436e-5,bci
ast2gr,6,2005-05-29,2010-05-17,4.967123287671233,51,67,44,2.9870967984789097e-6,9.81474662357356e-6,bci
ast2gr,7,2010-05-17,2015-07-09,5.144808743169399,67,83,60,2.8434861201510497e-6,9.342882966210592e-6,bci
hirtam,1,1982-01-01,1985-05-03,3.334246575342466,34,33,29,3.1678665502823065e-6,2.5342932402258453e-6,bci
hirtam,2,1985-05-03,1990-08-10,5.271232876712329,33,32,26,2.91859472223875e-6,2.501652619061786e-6,bci
hirtam,3,1990-08-10,1995-05-20,4.7753424657534245,32,26,25,3.224402876991064e-6,4.6062898242729485e-7,bci
hirtam,4,1995-05-20,2000-05-14,4.983606557377049,26,20,17,4.249594866053955e-6,1.416531622017985e-6,bci
hirtam,5,2000-05-14,2005-05-29,5.041095890410959,20,16,15,2.218782542269775e-6,4.43756508453955e-7,bci
hirtam,6,2005-05-29,2010-05-17,4.967123287671233,16,13,13,1.3101137406419453e-6,0,bci
hirtam,7,2010-05-17,2015-07-09,5.144808743169399,13,9,8,2.3413676810089177e-6,4.6827353620178354e-7,bci
ficuob,1,1982-01-01,1985-05-03,3.334246575342466,1,1,0,2e-6,2e-6,bci
ficuob,2,1985-05-03,1990-08-10,5.271232876712329,1,0,0,2e-6,0,bci
ficuob,3,1990-08-10,1995-05-20,4.7753424657534245,0,1,0,NaN,NaN,bci
ficuob,4,1995-05-20,2000-05-14,4.983606557377049,1,0,0,2e-6,0,bci
ficuob,5,2000-05-14,2005-05-29,5.041095890410959,0,0,0,NaN,NaN,bci
ficuob,6,2005-05-29,2010-05-17,4.967123287671233,0,1,0,NaN,NaN,bci
ficuob,7,2010-05-17,2015-07-09,5.144808743169399,1,5,1,0,NaN,bci
tropra,1,1982-01-01,1985-05-03,3.334246575342466,217,231,192,1.564347595395105e-5,2.4403822488163633e-5,bci
tropra,2,1985-05-03,1990-08-10,5.271232876712329,231,241,191,1.636830234268147e-5,2.0460377928351836e-5,bci
tropra,3,1990-08-10,1995-05-20,4.7753424657534245,241,237,205,1.605646407661535e-5,1.4272412512546977e-5,bci
