sp,cen_interval,tStart,tEnd,tCenInt,Nt0,Nt1,S_t1,M_t1,R_t1,site
swars2,3,1990-08-10,1995-05-20,4.7753424657534245,2971,3066,2910,2.5757834030950932e-5,6.587249358734993e-5,bci
swars2,4,1995-05-20,2000-05-14,4.983606557377049,3066,3096,2974,3.737197736352314e-5,4.9558491721193726e-5,bci
swars2,5,2000-05-14,2005-05-29,5.041095890410959,3096,3153,3021,3.004862607592251e-5,5.288558189362361e-5,bci
swars2,6,2005-05-29,2010-05-17,4.967123287671233,3153,3185,3059,3.8307702189733e-5,5.1348622084110194e-5,bci
swars2,7,2010-05-17,2015-07-09,5.144808743169399,3185,3212,3072,4.456931208647304e-5,5.5218616744302885e-5,bci
micoar,1,1982-01-01,1985-05-03,3.334246575342466,530,687,399,8.65243230479309e-5,1.9022141250232136e-4,bci
micoar,2,1985-05-03,1990-08-10,5.271232876712329,687,910,391,1.393331655173771e-4,2.4430375980918483e-4,bci
micoar,3,1990-08-10,1995-05-20,4.7753424657534245,910,822,471,2.344640057818001e-4,1.874643873107331e-4,bci
micoar,4,1995-05-20,2000-05-14,4.983606557377049,822,615,370,2.4331743733141208e-4,1.3188666404025654e-4,bci
micoar,5,2000-05-14,2005-05-29,5.041095890410959,615,531,264,1.8996085549229872e-4,1.4450013793858621e-4,bci
micoar,6,2005-05-29,2010-05-17,4.967123287671233,531,688,250,1.4944187537153082e-4,2.3293786979619393e-4,bci
micoar,7,2010-05-17,2015-07-09,5.144808743169399,688,652,327,1.8522750506659393e-4,1.667560641181247e-4,bci
ficuc2,1,1982-01-01,1985-05-03,3.334246575342466,15,10,9,4.261403653184895e-6,7.102339421974824e-7,bci
ficuc2,2,1985-05-03,1990-08-10,5.271232876712329,10,6,6,1.8472133004016713e-6,0,bci
ficuc2,3,1990-08-10,1995-05-20,4.7753424657534245,6,7,6,0,NaN,bci
ficuc2,4,1995-05-20,2000-05-14,4.983606557377049,7,10,7,0,NaN,bci
ficuc2,5,2000-05-14,2005-05-29,5.041095890410959,10,7,7,1.3661686188119006e-6,0,bci
ficuc2,6,2005-05-29,2010-05-17,4.967123287671233,7,8,6,4.2780610551988693e-7,8.556122110397739e-7,bci
ficuc2,7,2010-05-17,2015-07-09,5.144808743169399,8,6,4,2.0167353854913516e-6,1.0083676927456758e-6,bci
ficuin,1,1982-01-01,1985-05-03,3.334246575342466,9,8,8,6.247544218510854e-7,0,bci
ficuin,2,1985-05-03,1990-08-10,5.271232876712329,8,7,5,1.3648695732885887e-6,9.099130488590591e-7,bci
ficuin,3,1990-08-10,1995-05-20,4.7753424657534245,7,9,6,4.447113166470127e-7,1.3341339499410382e-6,bci
ficuin,4,1995-05-20,2000-05-14,4.983606557377049,9,16,5,2.002575777881751e-6,5.507083389174815e-6,bci
ficuin,5,2000-05-14,2005-05-29,5.041095890410959,16,16,12,1.7750260338158198e-6,1.7750260338158198e-6,bci
ficuin,6,2005-05-29,2010-05-17,4.967123287671233,16,16,11,2.325110882304013e-6,2.325110882304013e-6,bci
ficuin,7,2010-05-17,2015-07-09,5.144808743169399,16,12,10,2.793801171409331e-6,9.312670571364437e-7,bci
ormoma,1,1982-01-01,1985-05-03,3.334246575342466,71,86,70,6.028167755685097e-7,9.645068409096155e-6,bci
ormoma,2,1985-05-03,1990-08-10,5.271232876712329,86,110,84,7.660875042406197e-7,9.959137555128055e-6,bci
ormoma,3,1990-08-10,1995-05-20,4.7753424657534245,110,121,109,4.2033141113946073e-7,5.043976933673529e-6,bci
ormoma,4,1995-05-20,2000-05-14,4.983606557377049,121,134,120,4.026479711633095e-7,5.637071596286333e-6,bci
ormoma,5,2000-05-14,2005-05-29,5.041095890410959,134,144,131,1.2010436659070032e-6,5.20452255226368e-6,bci
ormoma,6,2005-05-29,2010-05-17,4.967123287671233,144,149,140,1.6287594692062938e-6,3.664708805714161e-6,bci
ormoma,7,2010-05-17,2015-07-09,5.144808743169399,149,154,136,5.241185709376657e-6,7.257026366829218e-6,bci
termam,1,1982-01-01,1985-05-03,3.334246575342466,61,63,58,1.8313788721379662e-6,3.052298120229944e-6,bci
termam,2,1985-05-03,1990-08-10,5.271232876712329,63,60,58,1.961183958191191e-6,7.844735832764764e-7,bci
termam,3,1990-08-10,1995-05-20,4.7753424657534245,60,60,58,8.48898214310303e-7,8.48898214310303e-7,bci
termam,4,1995-05-20,2000-05-14,4.983606557377049,60,52,52,3.39671709878258e-6,0,bci
termam,5,2000-05-14,2005-05-29,5.041095890410959,52,49,46,2.498829563111312e-6,1.249414781555656e-6,bci
termam,6,2005-05-29,2010-05-17,4.967123287671233,49,49,45,1.6658200883245091e-6,1.6658200883245091e-6,bci
termam,7,2010-05-17,2015-07-09,5.144808743169399,49,58,42,2.8927592025425306e-6,6.612021034382927e-6,bci
tri2pa,1,1982-01-01,1985-05-03,3.334246575342466,560,583,512,2.970053061023671e-5,4.3932034860975135e-5,bci
tri2pa,2,1985-05-03,1990-08-10,5.271232876712329,583,609,527,2.212568782171996e-5,3.239832859608994e-5,bci
tri2pa,3,1990-08-10,1995-05-20,4.7753424657534245,609,598,549,2.6169575164945544e-5,2.137181971803886e-5,bci
tri2pa,4,1995-05-20,2000-05-14,4.983606557377049,598,549,531,2.8180035912828868e-5,7.5707559168793966e-6,bci
tri2pa,5,2000-05-14,2005-05-29,5.041095890410959,549,506,466,3.512762526695477e-5,1.692897603226736e-5,bci
tri2pa,6,2005-05-29,2010-05-17,4.967123287671233,506,499,444,2.6283886946306977e-5,2.3316351323336835e-5,bci
tri2pa,7,2010-05-17,2015-07-09,5.144808743169399,499,486,440,2.411293527448914e-5,1.8799915637737293e-5,bci
ficubu,1,1982-01-01,1985-05-03,3.334246575342466,1,1,1,0,NaN,bci
ficubu,2,1985-05-03,1990-08-10,5.271232876712329,1,1,1,0,NaN,bci
ficubu,3,1990-08-10,1995-05-20,4.7753424657534245,1,1,0,2e-6,2e-6,bci
ficubu,4,1995-05-20,2000-05-14,4.983606557377049,1,1,1,0,NaN,bci
ficubu,5,2000-05-14,2005-05-29,5.041095890410959,1,5,1,0,NaN,bci
ficubu,6,2005-05-29,2010-05-17,4.967123287671233,5,0,0,1e-5,0,bci
ficubu,7,2010-05-17,2015-07-09,5.144808743169399,0,0,0,NaN,NaN,bci
tet4jo,1,1982-01-01,1985-05-03,3.334246575342466,10,7,7,2.0290044830129154e-6,0,bci
tet4jo,2,1985-05-03,1990-08-10,5.271232876712329,7,7,7,0,NaN,bci
tet4jo,3,1990-08-10,1995-05-20,4.7753424657534245,7,7,7,0,NaN,bci
tet4jo,4,1995-05-20,2000-05-14,4.983606557377049,7,7,7,0,NaN,bci
tet4jo,5,2000-05-14,2005-05-29,5.041095890410959,7,6,6,4.216240145363761e-7,0,bci
tet4jo,6,2005-05-29,2010-05-17,4.967123287671233,6,5,4,9.406426955107606e-7,4.703213477553803e-7,bci
